currentValue,tokenAddr,decimals
EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,18
0xb41b,0xb41b531359330d76bbcb0f1a24f94ff6bff30dc1,2
MOD,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0
0x275b,0x275b69aa7c8c1d648a0557656bce1c286e69a29d,8
0x7631,0x763186eb8d4856d536ed4478302971214febc6a9,18
0x92a5,0x92a5b04d0ed5d94d7a193d1d334d3d16996f4e13,18
0x0d26,0x0d262e5dc4a06a0f1c90ce79c7a60c09dfc884e4,8
0x75c5,0x75c5ee419331b6150879530d06f9ba054755f1da,18
0x4092,0x4092678e4e78230f46a1534c0fbc8fa39780892b,18
0x107c,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,18
TCASH,0xb8742486c723793cf5162bb5d3425ed9cd73d049,8
SER,0xb561fef0d624c0826ff869946f6076b7c4f2ba42,7
POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6
0x2c32,0x2c3243ef62d1ce837e74dae0a4d2b622f48906bf,18
CAT,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,18
VEN,0xd850942ef8811f2a866692a623011bde52a462c1,18
0x5f53,0x5f53f7a8075614b699baad0bc2c899f4bad8fbbf,18
KNC,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18
0xe2fb,0xe2fb6529ef566a080e6d23de0bd351311087d567,18
ENG,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,8
0x26e7,0x26e75307fc0c021472feb8f727839531f112f317,18
TRIA,0x3293cc907fde439b39aedaf1b982785adaff186b,10
0xd092,0xd0929d411954c47438dc1d871dd6081f5c5e149c,4
SMART,0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c,0
0x89d2,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,18
PRL,0x1844b21593262668b7248d0f57a220caaba46ab9,18
OPT,0x4355fc160f74328f9b383df2ec589bb3dfd82ba0,18
DGPT,0xf6cfe53d6febaeea051f400ff5fc14f0cbbdaca1,18
0x40ca,0x40caa728bb4bafa56f38a58623a12fbe6c90209d,0
WISH,0x1b22c32cd936cb97c28c5690a0695a82abf688e6,18
B2B,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,18
GVT,0x103c3a209da59d3e7c4a89307e66521e081cfdf0,18
0x70a7,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,18
0xcc13,0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea,8
0x25c8,0x25c8ca98fe9d59ceef5e0175abae40d4caa60af9,18
0xb533,0xb5335e24d0ab29c190ab8c2b459238da1153ceba,4
QSP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,18
HST,0x554c20b7c486beee439277b4540a434566dc4c02,18
0x24dd,0x24ddff6d8b8a42d835af3b440de91f3386554aa4,18
0xc757,0xc7579bb99af590ec71c316e1ac4436c535039594,18
KEY,0x4cd988afbad37289baaf53c13e98e2bd46aaea8c,18
0x2c4e,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,18
ART,0xfec0cf7fe078a500abf15f1284958f22049c2c7e,18
0x8098,0x809826cceab68c387726af962713b64cb5cb3cca,18
CSNO,0x29d75277ac7f0335b2165d0895e8725cbf658d73,8
0x7747,0x7747aeb32d89e527e5ebbf646871ca79805989ad,8
JS,0x5046e860ff274fb8c66106b0ffb8155849fb0787,8
0x5b2e,0x5b2e4a700dfbc560061e957edec8f6eeeb74a320,10
0x0560,0x056017c55ae7ae32d12aef7c679df83a85ca75ff,18
0xc438,0xc438b4c0dfbb1593be6dee03bbd1a84bb3aa6213,8
0x7501,0x7501a4f0b6fcf5ab8d682a57e668214edc3d3ea4,8
EETHER,0x00a0cbe98e4d110b0fa82646152d77babf2951d0,18
WRC,0x72adadb447784dd7ab1f472467750fc485e4cb2d,6
LGR,0x2eb86e8fc520e0f6bb5d9af08f924fe70558ab89,8
DOM,0x30aee7f259d6d1564ebef457847c672b30f13cbc,0
H2O,0xfeed1a53bd53ffe453d265fc6e70dd85f8e993b6,18
0x009e,0x009e864923b49263c7f10d19b7f8ab7a9a5aad33,18
LA,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf,18
CTT,0xe3fa177acecfb86721cf6f9f4206bd3bd672d7d5,18
SNOV,0xbdc5bac39dbe132b1e030e898ae3830017d7d969,18
0x3839,0x3839d8ba312751aa0248fed6a8bacb84308e20ed,18
TNT,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,8
SMT,0x82d193f8ee41d12aaa0a85cb006606d67f773e9c,1
ARTE,0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50,18
0x9af2,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b,8
0xd035,0xd0352a019e9ab9d757776f532377aaebd36fd541,18
0xae73,0xae73b38d1c9a8b274127ec30160a4927c4d71824,18
0xbd35,0xbd35aefa375b57a801ddc87615aef1e9f353df28,18
FUEL,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,18
0xc509,0xc50948bac01116f246259070ea6084c04649efdf,6
0xd2d6,0xd2d6158683aee4cc838067727209a0aaf4359de3,18
TOV,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0
DNT,0x0abdace70d3790235af448c88547603b945604ea,18
ADT,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,9
0xfb2f,0xfb2f26f266fb2805a387230f2aa0a331b4d96fba,18
0x95da,0x95daaab98046846bf4b2853e23cba236fa394a31,8
ARCT,0x1245ef80f4d9e02ed9425375e8f649b9221b31d8,8
RCC,0x9b6443b0fb9c241a7fdac375595cea13e6b7807a,18
0xf447,0xf44745fbd41f6a1ba151df190db0564c5fcc4410,18
LOC,0x5e3346444010135322268a4630d2ed5f8d09446c,18
INT,0x0b76544f6c413a555f309bf76260d1e02377c02a,6
ICOS,0x014b50466590340d41307cc54dcee990c8d58aa8,6
0x5bc7,0x5bc7e5f0ab8b2e10d2d0a3f21739fce62459aef3,18
BTCE,0x0886949c1b8c412860c4264ceb8083d1365e86cf,8
0xfd46,0xfd46e531a749f1c81fbc841e2e0db399341b537a,18
0x4cc1,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,18
0x54a3,0x54a3f499f3e9ec22cbdec21bd38619561475da75,18
NEOG,0x449574c69f3a658794829ed81639a7a9ece041e1,0
0x876f,0x876fd7048d975518529a342b0e496653e2003d2c,2
DOVU,0xac3211a5025414af2866ff09c23fc18bc97e79b1,18
0x6a09,0x6a09e1b7cc5cb52ffdfc585a8df51ced7063915c,18
QVT,0x1183f92a5624d68e85ffb9170f16bf0443b4c242,18
CFI,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,18
0x3eb2,0x3eb21f4678b352fcd8facf06b642c6720e04961b,18
EGAS,0xb53a96bcbdd9cf78dff20bab6c2be7baec8f00f8,8
0x5b07,0x5b0751713b2527d7f002c0c4e2a37e1219610a6b,18
XNN,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,18
PLY,0xfb41f7b63c8e84f4ba1ecd4d393fd9daa5d14d61,18
PLU,0xd8912c10681d8b21fd3742244f44658dba12264e,18
SUB,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,2
0x308c,0x308cdde4e47022a12912e5e7179c47e550d2d25a,18
0xcf76,0xcf76f32ebe10139e4370127d5789cdb0750d460d,8
DLT,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,18
LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,18
UFR,0xea097a2b1db00627b2fa17460ad260c016016977,18
CREDO,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,18
0x2baa,0x2baac9330cf9ac479d819195794d79ad0c7616e3,18
BITC,0xe0c21b3f45fea3e5fdc811021fb1f8842caccad2,0
0x78b0,0x78b039921e84e726eb72e7b1212bb35504c645ca,18
BTCRED,0x6aac8cb9861e42bf8259f5abdc6ae3ae89909e11,8
0x0778,0x0778cc2e8bbad3d483e82371606d100cc8604522,8
0x0235,0x0235fe624e044a05eed7a43e16e3083bc8a4287a,18
NET,0xcfb98637bcae43c13323eaa1731ced2b716962fd,18
0xfae4,0xfae4ee59cdd86e3be9e8b90b53aa866327d7c090,18
FLLW,0xa25d01d15fc0e3cdede1bebee4124394aae0db33,18
MINT,0xea642206310400cda4c1c5b8e7945314aa96b8a7,18
0x4162,0x4162178b78d6985480a308b2190ee5517460406d,18
0x2ae9,0x2ae965cd3d2b6d186e87d9586fc3bdbfc667cacc,18
BCDC,0xb4c55b5a1faf5323e59842171c2492773a3783dd,18
TFL,0xa7f976c360ebbed4465c2855684d1aae5271efa9,8
BET,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,18
KRT,0x5783862cef49094be4de1fe31280b2e33cf87416,4
0x4507,0x450711d5da9f7cadb0e4d3472be550328b37bdda,4
BTHE,0xfad572db566e5234ac9fc3d570c4edc0050eaa92,18
0x4960,0x4960a0db832c3bb503f3da59a274d9385e0ade5a,18
SGG,0xe2f45f1660dc99daf3bd06f637ab1e4debc15bde,6
ZCG,0x180e5087935a94fd5bbab00fd2249c5be0473381,8
0xc9be,0xc9be9f75df438df3ef40e4bab816bf30e3f14b50,0
SNIP,0x44f588aeeb8c44471439d1270b3603c66a9262f1,18
CTX,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66,18
LTG,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f,0
BLN,0x7b1309c1522afd4e66c31e1e6d0ec1319e1eba5e,18
RBM,0xa5d1e58ece1fc438d64e65769d2ab730143a4caf,18
0x0544,0x0544fe50c052e3739b510067fc03b402e3053559,3
DICE,0x2e071d2966aa7d8decb1005885ba1977d6038a65,16
MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,8
0x69be,0x69beab403438253f13b6e92db91f7fb849258263,18
0x1063,0x1063ce524265d5a3a624f4914acd573dd89ce988,18
NEU,0xa823e6722006afe99e91c30ff5295052fe6b8e32,18
0x75aa,0x75aa7b0d02532f3833b66c7f0ad35376d373ddf8,18
NULS,0xb91318f35bdb262e9423bc7c7c2a3a93dd93c92c,18
0x80bc,0x80bc5512561c7f85a3a9508c7df7901b370fa1df,18
MNTP,0x83cee9e086a77e492ee0bb93c2b0437ad6fdeccc,18
0x1234,0x1234567461d3f8db7496581774bd869c83d51c93,18
CLASSY,0x30cc0e266cf33b8eac6a99cbd98e39b890cfd69b,16
0x84a8,0x84a8222618acd4ac60547b6e89cc2c72a12a49dd,18
0xe29c,0xe29c5b523590165795bbd7d52369c2895b18841f,18
0xa87c,0xa87c3ec87eb802aad080df0adb331e504d327e5d,18
VSL,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,18
0xfd6d,0xfd6d57b5ebdcc70b3196592b33cbe0b7149e5a27,5
B2X,0x9c9891f7795eb127ba4783b671573275ff3a83a9,8
0xbd4b,0xbd4b60a138b3fce3584ea01f50c0908c18f9677a,8
ASTR,0x80e7a4d750ade616da896c49049b7ede9e04c191,4
0x18ca,0x18cabd1e7db6c52406719cb72859ea2c2eea75d6,18
SNGLS,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0
STCN,0x420c42ce1370c0ec3ca87d9be64a7002e78e6709,0
XSC,0x0f513ffb4926ff82d7f60a05069047aca295c413,18
0xd8e6,0xd8e64769bb02136564737a4ecc712083b473db86,2
0x7f58,0x7f585b9130c64e9e9f470b618a7badd03d79ca7e,18
GEN,0x9dfe4643c04078a46803edcc30a3291b76d4c20c,18
NXXOLD,0x5c6183d10a00cd747a6dbb5f658ad514383e9419,8
EREAL,0x15f173b7aca7cd4a01d6f8360e65fb4491d270c1,18
0xbf21,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
0x5acd,0x5acd19b9c91e596b1f062f18e3d02da7ed8d1e50,8
0x059e,0x059e3ead0a5675e4139c820d799e20be9c75bc3d,8
0x70b1,0x70b147e01e9285e7ce68b9ba437fe3a9190e756a,18
0x1d7c,0x1d7c47977e8917e60f8075a3846a360887775e12,18
0x4270,0x4270bb238f6dd8b1c3ca01f96ca65b2647c06d3c,18
0x4555,0x45555629aabfea138ead1c1e5f2ac3cce2add830,8
STX,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,18
0x5824,0x5824f275dab2c59b8972a1fda45ff404c9a703e3,18
0x983f,0x983f7cc12d0b5d512b0f91f51a4aa478ac4def46,0
0xe8b9,0xe8b9fdcea1a2ee0e340b3072d6c5b85dc99f470e,18
WAND,0x27f610bf36eca0939093343ac28b1534a721dbb4,18
0xf3dd,0xf3dd3acf1662a564e15d7569fd80c105596e8846,8
CFD,0x14839bf22810f09fb163af69bd21bd5476f445cd,18
0xffc6,0xffc63b9146967a1ba33066fb057ee3722221acf0,18
0xf382,0xf382ccbd3d203c10706059ffdcfe053308955792,18
0x24f4,0x24f4f266fbd133db5b4c6906df292506b695bee5,18
ITS,0xfd784da5c740c617aafb80399fa81b86e1da99a5,8
0xac2b,0xac2bd14654bbf22f9d8f20c7b3a70e376d3436b4,8
0x2f9b,0x2f9b6779c37df5707249eeb3734bbfc94763fbe2,18
0x5e6b,0x5e6b6d9abad9093fdc861ea1600eba1b355cd940,18
0xd9a7,0xd9a72fec8683db0666769d841d6d127f350b4418,18
ECN,0xa578acc0cb7875781b7880903f4594d13cfa8b98,2
0x633a,0x633a8f8e557702039463f9f2eb20b7936fff8c05,18
0x929c,0x929c667287efcce4c1d0d8ad1ebf44a277d8c067,18
0xfa6f,0xfa6f7881e52fdf912c4a285d78a3141b089ce859,18
0xd780,0xd780ae2bf04cd96e577d3d014762f831d97129d0,18
NXX,0x7627de4b93263a6a7570b8dafa64bae812e5c394,8
0x3833,0x3833dda0aeb6947b98ce454d89366cba8cc55528,18
SND,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0
0xf3db,0xf3db7560e820834658b590c96234c333cd3d5e5e,18
0x6425,0x6425c6be902d692ae2db752b3c268afadb099d3b,18
EBTC,0xeb7c20027172e5d143fb030d50f91cece2d1485d,8
DAY,0xe814aee960a85208c3db542c53e7d4a6c8d5f60f,18
EXMR,0xc98e0639c6d2ec037a615341c369666b110e80e5,8
WTC,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,18
SALT,0x4156d3342d5c385a87d264f90653733592000581,8
WILD,0xd3c00772b24d997a812249ca637a921e81357701,18
ETHG,0xae258d5322b59d64df9eb483e3b1733332c3b66c,8
0xd0a4,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,18
0x4203,0x420335d3deef2d5b87524ff9d0fb441f71ea621f,18
0x39bb,0x39bb259f66e1c59d5abef88375979b4d20d98022,8
0x3276,0x327682779bab2bf4d1337e8974ab9de8275a7ca8,18
0x0784,0x0784dbabb6c6834bddfb7cfee116ba049e5dafab,18
0x47dd,0x47dd62d4d075dead71d0e00299fc56a2d747bebb,18
0x5d65,0x5d65d971895edc438f465c17db6992698a52318d,18
PNY,0xd317ff47dc7e1423e5e050870a66332833e5fd88,18
ROC,0x1bcbc54166f6ba149934870b60506199b6c9db6d,10
SNC,0xf4134146af2d511dd5ea8cdb1c4ac88c57d60404,18
ONG,0xd341d1680eeee3255b8c4c75bcce7eb57f144dae,18
0xdfe7,0xdfe7351c291bc0e49079c62212587244e1c666ba,18
YEL,0x8633e144f2d9b9b8bdd12ddb58e4bef1e163a0ce,18
0xf1f6,0xf1f64f6b8e17dd68c1db10b0eed3d2541a6c09ab,8
WET,0x0f9b1d1d39118480cf8b9575419ea4e5189c88dd,18
MTP,0xdab5dfa0966c3435da991b39d205c3ba1c64fe31,1
BCO,0x865d176351f287fe1b0010805b110d08699c200a,8
FUDD,0xde39e5e5a1b0eeb3afe717d6d011cae88d19451e,8
ELTCOIN,0x44197a4c44d6a059297caf6be4f7e172bd56caaf,8
0x1961,0x1961b3331969ed52770751fc718ef530838b6dee,18
B2XOLD,0x6e58b4c41cab75dc0239938bf5455ab8823ee4de,8
BOPTOLD,0x9cb9eb4bb7800bdbb017be2a4ffbeccb67454ea9,8
0x54f3,0x54f36e77be58f73948d72a87541854f61bc07ac4,18
SXUOLD,0xaadb05f449072d275833baf7c82e8fca4ee46575,6
0x2625,0x26253cf8166b2ab51b886835a8f05e8f76b40ae2,9
PLC,0x0835ecd15ddf08d4786304d71b4672dc5c40f011,18
EVC,0xb62d18dea74045e822352ce4b3ee77319dc5ff2f,18
0x0ff1,0x0ff161071e627a0e6de138105c73970f86ca7922,18
0xda6c,0xda6cb58a0d0c01610a29c5a65c303e13e885887c,18
ABS,0x8ce9411df545d6b51a9bc52a89e0f6d1b54a06dd,0
PPT2,0x2469f31a34fcaac0debf73806ce39b2388874b13,18
0x5592,0x559201fa75902cdc4055e40f0c90e3d702049987,18
NEWB,0x814964b1bceaf24e26296d031eadf134a2ca4105,0
TIE,0x999967e2ec8a74b7c8e9db19e039d920b31d39d0,18
0x81c9,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,18
0xf2ea,0xf2eab3a2034d3f6b63734d2e08262040e3ff7b48,18
0x6ba4,0x6ba460ab75cd2c56343b3517ffeba60748654d26,8
0x41db,0x41dbecc1cdc5517c6f76f6a6e836adbee2754de3,18
EDOGE,0x8a7b7b9b2f7d0c63f66171721339705a6188a7d5,18
0xfbd0,0xfbd0d1c77b501796a35d86cf91d65d9778eee695,3
EAGLE,0x994f0dffdbae0bbf09b652d6f11a493fd33f42b9,18
0xeee2,0xeee2d00eb7deb8dd6924187f5aa3496b7d06e62a,18
0x4aac,0x4aac461c86abfa71e9d00d9a2cde8d74e4e1aeea,18
0x9a00,0x9a005c9a89bd72a4bd27721e7a09a3c11d2b03c4,18
0x360d,0x360d2a5a9fc457f084b1379056a1a36d4bf57546,8
CCO,0x679badc551626e01b23ceecefbc9b877ea18fc46,18
0x584b,0x584b44853680ee34a0f337b712a8f66d816df151,18
0xdd16,0xdd16ec0f66e54d453e6756713e533355989040e4,18
GREED,0xbc9395973bd35a3b4bd924f050d2778c07506ecb,18
LEV,0x0f4ca92660efad97a9a70cb0fe969c755439772c,9
0x9898,0x989812ae9cb5536048376e6982d120942ae5dcda,18
0xc5bb,0xc5bbae50781be1669306b9e001eff57a2957b09d,5
0xb685,0xb68578a9f447d865d02276435c2ea5c5f5c57fc7,8
BTC2X,0x15ef5b9447710eab904e63e6233ff540400d603f,8
ELTC2,0x7e9d62e1ff4e34096f91ee0153222ab81f7184f0,8
ZSC,0x7a41e0517a5eca4fdbc7fbeba4d4c47b9ff6dc63,18
WETOLD,0x76195ffd0cfedf68625b3e5b64c7bd904eeb9d6c,18
DRT,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,8
